StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[Rectangle]Hit	AOI[Rectangle 2]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2849	52:29.5		1		Fixation	316	748	424			167	884	488	613	386	748	437	3.16	3.27	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2865	52:29.5		1		Fixation	316	748	424			168	899	483	673	362	786	422	3.24	3.52	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2882	52:29.5		2		Fixation	1699	797	470			169	962	566	666	425	814	495	3.06	3.32	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2899	52:29.6		2		Fixation	1699	797	470			170	916	528	627	395	771	461	3.12	3.47	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2915	52:29.6		2		Fixation	1699	797	470			171	922	548	689	434	805	491	3.24	3.2	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2932	52:29.6		2		Fixation	1699	797	470			172	919	519	708	400	813	459	3.34	3.96	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2949	52:29.6		2		Fixation	1699	797	470			173	944	549	684	430	814	489	3.13	3.23	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2965	52:29.6		2		Fixation	1699	797	470			174	919	545	649	413	784	479	3.33	3.52	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2982	52:29.6		2		Fixation	1699	797	470			175	924	542	651	417	787	479	3.24	3.32	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	2999	52:29.7		2		Fixation	1699	797	470			176	905	522	659	416	782	469	3.43	3.57	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3015	52:29.7		2		Fixation	1699	797	470			177									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3032	52:29.7		2		Fixation	1699	797	470			178									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3049	52:29.7		2		Fixation	1699	797	470			179									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3065	52:29.7		2		Fixation	1699	797	470			180									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3082	52:29.7		2		Fixation	1699	797	470			181	938	550	648	424	793	487	3.27	3.41	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3099	52:29.8		2		Fixation	1699	797	470			182	932	547	655	421	793	484	3.32	3.36	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3115	52:29.8		2		Fixation	1699	797	470			183	934	543	652	421	793	482	3.33	3.42	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3132	52:29.8		2		Fixation	1699	797	470			184	930	538	645	426	787	482	3.34	3.39	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3149	52:29.8		2		Fixation	1699	797	470			185	938	544	659	426	798	485	3.35	3.43	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3165	52:29.8		2		Fixation	1699	797	470			186	931	557	652	421	791	489	3.36	3.4	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3182	52:29.8		2		Fixation	1699	797	470			187	941	552	655	427	798	489	3.34	3.39	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3199	52:29.9		2		Fixation	1699	797	470			188	939	542	662	428	800	485	3.32	3.37	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3215	52:29.9		2		Fixation	1699	797	470			189									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3232	52:29.9		2		Fixation	1699	797	470			190									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3248	52:29.9		2		Fixation	1699	797	470			191	907	517	663	422	785	469	3.56	3.73	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3265	52:29.9		2		Fixation	1699	797	470			192	891	517	678	417	784	467	3.58	3.71	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3281	52:29.9		2		Fixation	1699	797	470			193	943	524	672	425	807	474	3.57	3.73	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3298	52:30.0		2		Fixation	1699	797	470			194	918	536	672	432	795	484	3.64	3.75	0	0
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824	baby_xvid.avi	3315	52:30.0		2		Fixation	1699	797	470			195	933	511	678	419	805	465	3.64	3.72	0	0
